Country,Year,Attack_Type,Target_Industry,Financial_Loss_in_Million_$,Number_of_Affected_Users,Attack_Source,Security_Vulnerability_Type,Defense_Mechanism_Used,Incident_Resolution_Time_in_Hours,loss_per_user,log_affected_users,log_financial_loss,risk_cluster,risk_profile_name
China,2021,SQL Injection,Government,13.76,11310,Hacker Group,Weak Passwords,Antivirus,71,1216.6224580017683,9.33353098253138,2.6919208191723265,3,High Per-User Damage Incidents
Russia,2024,DDoS,Government,94.6,82500,Hacker Group,Zero-day,AI-based Detection,28,1146.6666666666667,11.320565693461432,4.560172820057356,3,High Per-User Damage Incidents
India,2024,DDoS,Telecommunications,85.02,700440,Hacker Group,Weak Passwords,VPN,23,121.38084632516704,13.459465415658851,4.45457982735559,0,High Loss Fast Resolution Incidents
Japan,2021,Malware,Education,76.8,607544,Nation-state,Weak Passwords,Encryption,56,126.41059742175052,13.317181525527566,4.354141431184346,2,High Loss Long Resolution Incidents
Brazil,2020,Phishing,Healthcare,18.79,267178,Nation-state,Social Engineering,Firewall,56,70.32764673738107,12.49567412474168,2.9851767596144745,2,High Loss Long Resolution Incidents
Russia,2022,DDoS,Healthcare,58.93,104121,Hacker Group,Zero-day,Firewall,15,565.9761239327321,11.553318567529473,4.093177214470094,3,High Per-User Damage Incidents
India,2024,DDoS,Retail,0.6,766733,Insider,Zero-day,AI-based Detection,55,0.7825409888448782,13.54989521446174,0.4700036292457356,1,Low Loss Wide Exposure Incidents
Japan,2020,Phishing,Retail,38.96,370096,Nation-state,Weak Passwords,Encryption,23,105.26998400415027,12.821520412424075,3.687878953780353,0,High Loss Fast Resolution Incidents
France,2024,DDoS,Retail,88.17,738419,Unknown,Zero-day,Firewall,11,119.4037531536973,13.512268047394437,4.490544660146788,0,High Loss Fast Resolution Incidents
Germany,2016,Malware,Telecommunications,77.7,57200,Hacker Group,Social Engineering,VPN,26,1358.3916083916083,10.954326659732555,4.365643155423357,3,High Per-User Damage Incidents
Russia,2024,Ransomware,Government,48.88,172789,Hacker Group,Unpatched Software,VPN,10,282.88837831111937,12.059832263307168,3.9096201208118355,0,High Loss Fast Resolution Incidents
Japan,2024,Malware,Telecommunications,42.79,483399,Insider,Zero-day,Antivirus,50,88.5190081071744,13.08859974725152,3.779405480813307,2,High Loss Long Resolution Incidents
Russia,2019,DDoS,Education,33.73,985398,Nation-state,Social Engineering,Antivirus,54,34.22982388841869,13.800801914275167,3.5476038667559826,2,High Loss Long Resolution Incidents
USA,2015,Ransomware,Healthcare,43.81,905935,Unknown,Unpatched Software,VPN,60,48.35887784443696,13.716723942353381,3.802431328798052,2,High Loss Long Resolution Incidents
Australia,2019,Malware,Telecommunications,93.71,217863,Insider,Unpatched Software,VPN,31,430.13269807172395,12.291626293882832,4.55081959123801,0,High Loss Fast Resolution Incidents
India,2023,Ransomware,Retail,5.57,582097,Insider,Weak Passwords,Antivirus,40,9.568851926740733,13.274394097418158,1.8825138324965192,1,Low Loss Wide Exposure Incidents
India,2020,Phishing,Healthcare,38.19,847958,Insider,Weak Passwords,Firewall,32,45.03760799473559,13.650587564548584,3.66842161221154,0,High Loss Fast Resolution Incidents
India,2015,Man-in-the-Middle,Banking,38.1,187807,Nation-state,Unpatched Software,VPN,37,202.86783772702827,12.14317544335806,3.66612246699132,2,High Loss Long Resolution Incidents
USA,2019,DDoS,Telecommunications,57.52,513601,Nation-state,Unpatched Software,VPN,14,111.99355141442481,13.149203925431303,4.069368576151923,0,High Loss Fast Resolution Incidents
Japan,2017,DDoS,IT,86.89,703035,Unknown,Unpatched Software,Firewall,15,123.5927087556096,13.4631633785855,4.4760860325765535,0,High Loss Fast Resolution Incidents
France,2018,Malware,IT,59.56,450313,Nation-state,Zero-day,AI-based Detection,26,132.26355890236346,13.017700396190556,4.103634609129194,0,High Loss Fast Resolution Incidents
France,2020,Malware,Banking,12.25,162930,Insider,Unpatched Software,Firewall,13,75.18566255447125,12.001082077283272,2.583997552432231,1,Low Loss Wide Exposure Incidents
Japan,2015,SQL Injection,Education,61.87,244406,Nation-state,Social Engineering,VPN,43,253.1443581581467,12.40659014744061,4.14106910239497,2,High Loss Long Resolution Incidents
Germany,2024,Man-in-the-Middle,Education,26.58,313397,Hacker Group,Social Engineering,AI-based Detection,36,84.8125540448696,12.655229227262764,3.3170908723651555,0,High Loss Fast Resolution Incidents
UK,2020,Phishing,Healthcare,66.55,843310,Hacker Group,Zero-day,Antivirus,71,78.91522690351117,13.645091089471494,4.212868064406208,2,High Loss Long Resolution Incidents
Brazil,2018,Ransomware,Education,69.04,939146,Nation-state,Zero-day,Firewall,56,73.51359639502272,13.75272729545857,4.249066507417651,2,High Loss Long Resolution Incidents
India,2022,Man-in-the-Middle,Retail,13.82,633855,Hacker Group,Social Engineering,Antivirus,37,21.80309376750203,13.35957707828405,2.695977619867941,1,Low Loss Wide Exposure Incidents
UK,2017,Malware,Healthcare,24.06,612319,Unknown,Social Engineering,Antivirus,47,39.29324420767606,13.32501030065953,3.221272949467922,2,High Loss Long Resolution Incidents
Germany,2015,Man-in-the-Middle,Retail,85.34,819676,Hacker Group,Zero-day,Antivirus,59,104.1143085804635,13.616665639201468,4.458292990127331,2,High Loss Long Resolution Incidents
France,2016,Man-in-the-Middle,Healthcare,23.99,106126,Unknown,Weak Passwords,Antivirus,19,226.05205133520533,11.572391769136894,3.218475744846861,3,High Per-User Damage Incidents
Japan,2021,Man-in-the-Middle,Education,15.78,733307,Nation-state,Social Engineering,Firewall,29,21.518954544276816,13.50532108360918,2.82018770103906,1,Low Loss Wide Exposure Incidents
Japan,2019,Malware,Telecommunications,5.88,235399,Unknown,Social Engineering,Antivirus,21,24.978865670627318,12.369041473808313,1.9286186519452522,1,Low Loss Wide Exposure Incidents
China,2016,DDoS,Banking,76.9,605118,Insider,Social Engineering,Firewall,30,127.0826516481083,13.313180411886083,4.355425952876702,0,High Loss Fast Resolution Incidents
Brazil,2023,Man-in-the-Middle,Retail,59.18,610786,Nation-state,Social Engineering,AI-based Detection,31,96.891546302633,13.322503568537575,4.0973400712018995,0,High Loss Fast Resolution Incidents
China,2023,Phishing,Banking,33.27,133315,Nation-state,Weak Passwords,AI-based Detection,25,249.55931440573082,11.800477528971276,3.5342703358865175,3,High Per-User Damage Incidents
India,2023,DDoS,Government,34.46,580270,Unknown,Unpatched Software,Firewall,35,59.386147827735364,13.271250514778648,3.5684053006460617,0,High Loss Fast Resolution Incidents
France,2019,DDoS,Education,66.65,47104,Insider,Social Engineering,VPN,5,1414.9541440217392,10.760134431482768,4.214347354616797,3,High Per-User Damage Incidents
India,2015,Malware,Retail,89.95,917351,Unknown,Zero-day,Encryption,43,98.05407090633793,13.729246537997437,4.5103099049641315,2,High Loss Long Resolution Incidents
Germany,2018,Man-in-the-Middle,Retail,43.28,22241,Hacker Group,Zero-day,Firewall,5,1945.9556674609955,10.009737672378787,3.790533107840436,3,High Per-User Damage Incidents
USA,2016,Malware,Banking,36.2,194553,Hacker Group,Social Engineering,AI-based Detection,48,186.0675497165297,12.178465038468623,3.616308761279101,2,High Loss Long Resolution Incidents
China,2020,Ransomware,Banking,98.05,168617,Hacker Group,Unpatched Software,VPN,16,581.4953415136077,12.035391080417117,4.59562477314456,0,High Loss Fast Resolution Incidents
Brazil,2017,Malware,Telecommunications,6.09,436100,Unknown,Zero-day,Encryption,12,13.964686998394864,12.985629146880282,1.958685340544036,1,Low Loss Wide Exposure Incidents
India,2015,Man-in-the-Middle,Healthcare,37.15,357124,Nation-state,Weak Passwords,Antivirus,31,104.02549254600643,12.785841139533074,3.641525757730466,0,High Loss Fast Resolution Incidents
India,2022,Man-in-the-Middle,Banking,32.47,947465,Unknown,Unpatched Software,AI-based Detection,69,34.27039521248806,13.761546331389862,3.510649515223235,2,High Loss Long Resolution Incidents
Australia,2023,Man-in-the-Middle,Retail,93.25,349335,Nation-state,Zero-day,Firewall,27,266.93574935234085,12.763789488753666,4.54595082632812,0,High Loss Fast Resolution Incidents
Russia,2019,Malware,Banking,55.42,945465,Unknown,Weak Passwords,Firewall,5,58.61665952732253,13.759433206624456,4.0328237055738505,0,High Loss Fast Resolution Incidents
USA,2022,Ransomware,IT,85.61,826018,Hacker Group,Weak Passwords,Firewall,24,103.64180925839389,13.624373054659872,4.461415282342953,0,High Loss Fast Resolution Incidents
France,2019,SQL Injection,Banking,98.04,278315,Unknown,Unpatched Software,VPN,3,352.2627238919929,12.536512437776585,4.595523808936286,0,High Loss Fast Resolution Incidents
Germany,2016,Malware,Healthcare,94.12,21382,Unknown,Weak Passwords,Encryption,21,4401.833317743897,9.970351492789636,4.555139252382526,3,High Per-User Damage Incidents
Japan,2023,Ransomware,Retail,28.77,983880,Nation-state,Unpatched Software,Antivirus,54,29.241370898890107,13.799260233761819,3.393501175027685,2,High Loss Long Resolution Incidents
Brazil,2022,Phishing,IT,26.02,251768,Unknown,Social Engineering,VPN,6,103.34911505830765,12.436267279431076,3.2965773325320527,0,High Loss Fast Resolution Incidents
UK,2022,DDoS,Retail,45.73,554585,Hacker Group,Social Engineering,VPN,63,82.45805422072361,13.225977168426514,3.844386356712335,2,High Loss Long Resolution Incidents
Australia,2018,DDoS,Education,79.5,636407,Hacker Group,Zero-day,Encryption,11,124.92005901883543,13.363595146077003,4.388257184424518,0,High Loss Fast Resolution Incidents
Russia,2017,Ransomware,Healthcare,16.77,924837,Hacker Group,Unpatched Software,Firewall,62,18.132925045170122,13.737373866021478,2.87751164216656,2,High Loss Long Resolution Incidents
Russia,2019,Man-in-the-Middle,Education,6.79,386691,Nation-state,Weak Passwords,AI-based Detection,20,17.559239806460454,12.865383789509655,2.052840859882657,1,Low Loss Wide Exposure Incidents
Japan,2019,DDoS,Education,15.54,645578,Insider,Weak Passwords,AI-based Detection,56,24.071452248992376,13.377902867527792,2.805781689595545,1,Low Loss Wide Exposure Incidents
Australia,2017,Phishing,Education,82.47,317988,Nation-state,Zero-day,Encryption,2,259.34940941167594,12.669772069969056,4.424487285862646,0,High Loss Fast Resolution Incidents
UK,2023,Ransomware,IT,86.23,82321,Unknown,Zero-day,Firewall,47,1047.4848459080915,11.31839366564526,4.468548308445127,3,High Per-User Damage Incidents
Germany,2023,SQL Injection,Retail,49.76,460558,Nation-state,Zero-day,VPN,61,108.04285236604294,13.040196248077576,3.927108642846187,2,High Loss Long Resolution Incidents
USA,2015,SQL Injection,Education,28.19,239853,Insider,Unpatched Software,Encryption,64,117.53032065473435,12.387785683880997,3.3738261848660236,2,High Loss Long Resolution Incidents
Germany,2015,Ransomware,Telecommunications,99.83,419344,Hacker Group,Zero-day,Firewall,59,238.06230684116144,12.946449249126976,4.613435930405124,2,High Loss Long Resolution Incidents
Russia,2015,Phishing,Government,24.06,867302,Unknown,Social Engineering,Firewall,55,27.741202026514408,13.673143675677288,3.221272949467922,2,High Loss Long Resolution Incidents
Japan,2015,DDoS,Education,76.22,769794,Nation-state,Zero-day,AI-based Detection,29,99.01350231360598,13.553879524617132,4.346658490836091,0,High Loss Fast Resolution Incidents
France,2019,SQL Injection,Retail,3.87,755230,Insider,Weak Passwords,AI-based Detection,31,5.124266779656528,13.534778941699766,1.5830939370944985,1,Low Loss Wide Exposure Incidents
Russia,2024,Ransomware,Healthcare,63.74,83374,Insider,Zero-day,VPN,45,764.5069206227361,11.331103783217925,4.170379248498098,3,High Per-User Damage Incidents
France,2020,Phishing,Banking,13.38,934436,Unknown,Unpatched Software,Firewall,64,14.318797649063178,13.747699487874876,2.6658383522929006,1,Low Loss Wide Exposure Incidents
Germany,2021,SQL Injection,Education,17.55,519698,Insider,Social Engineering,Encryption,30,33.76961235178892,13.161005076807651,2.920469789053444,1,Low Loss Wide Exposure Incidents
USA,2018,Man-in-the-Middle,Government,51.41,491008,Hacker Group,Weak Passwords,Encryption,50,104.702978362878,13.104217736547566,3.959097412814075,2,High Loss Long Resolution Incidents
Japan,2015,Man-in-the-Middle,Telecommunications,79.88,104759,Hacker Group,Zero-day,AI-based Detection,12,762.512051470518,11.559427298621648,4.392966574712216,3,High Per-User Damage Incidents
France,2017,Phishing,Banking,77.41,654122,Nation-state,Social Engineering,AI-based Detection,68,118.34183837265832,13.391050686150248,4.361951470242831,2,High Loss Long Resolution Incidents
Germany,2023,DDoS,IT,93.72,828721,Insider,Weak Passwords,Encryption,21,113.08993014536858,13.627640034089435,4.550925171135695,0,High Loss Fast Resolution Incidents
Germany,2017,Malware,Government,67.79,239402,Hacker Group,Zero-day,VPN,17,283.16388334266213,12.385903603355814,4.2310583855379225,0,High Loss Fast Resolution Incidents
Brazil,2021,Man-in-the-Middle,Banking,81.68,893986,Insider,Unpatched Software,Firewall,47,91.36608403263585,13.7034465126629,4.414977734813568,2,High Loss Long Resolution Incidents
Brazil,2024,Man-in-the-Middle,Healthcare,26.92,695427,Nation-state,Zero-day,Encryption,28,38.710029952820356,13.452282762341216,3.329343277894172,0,High Loss Fast Resolution Incidents
UK,2021,Phishing,Banking,88.38,281387,Hacker Group,Social Engineering,Firewall,55,314.08700473014034,12.547489778829906,4.492896943505305,2,High Loss Long Resolution Incidents
France,2015,Malware,Banking,30.15,205850,Insider,Unpatched Software,Firewall,72,146.46587320864708,12.234907885092493,3.4388142452334622,2,High Loss Long Resolution Incidents
Russia,2022,Malware,Retail,71.15,258554,Unknown,Social Engineering,AI-based Detection,72,275.1842941899951,12.462863716256601,4.27874728521988,2,High Loss Long Resolution Incidents
Russia,2020,DDoS,Education,60.94,798113,Insider,Social Engineering,Antivirus,23,76.35510259825364,13.590006723371694,4.126166174545057,0,High Loss Fast Resolution Incidents
China,2024,Ransomware,Healthcare,42.26,685837,Insider,Social Engineering,VPN,68,61.61813958710306,13.438396727216343,3.767228420524913,2,High Loss Long Resolution Incidents
Russia,2020,DDoS,Government,72.59,787260,Insider,Weak Passwords,Firewall,15,92.20587861697533,13.576315111555397,4.298509146938508,0,High Loss Fast Resolution Incidents
China,2019,SQL Injection,Government,65.85,252025,Hacker Group,Zero-day,Encryption,60,261.2836028171808,12.437287535774601,4.202451303547952,2,High Loss Long Resolution Incidents
Brazil,2020,SQL Injection,Banking,68.05,912770,Unknown,Zero-day,AI-based Detection,67,74.55328286424839,13.72424030664845,4.234830879855301,2,High Loss Long Resolution Incidents
Germany,2018,Ransomware,IT,27.51,644913,Unknown,Weak Passwords,VPN,32,42.656916514320535,13.376872253554897,3.3502549029245805,0,High Loss Fast Resolution Incidents
India,2020,Malware,Healthcare,20.62,54206,Insider,Unpatched Software,VPN,51,380.40069365014944,10.90056533037994,3.073618812211062,3,High Per-User Damage Incidents
India,2018,DDoS,Education,1.71,63389,Insider,Unpatched Software,VPN,20,26.9762892615438,11.057061399278211,0.9969486348916095,1,Low Loss Wide Exposure Incidents
Brazil,2017,Phishing,Retail,3.18,520654,Nation-state,Social Engineering,VPN,53,6.10770300429844,13.16284291329232,1.430311246536665,1,Low Loss Wide Exposure Incidents
Germany,2022,Man-in-the-Middle,Telecommunications,0.54,419912,Nation-state,Zero-day,AI-based Detection,40,1.285983729924365,12.947802825945363,0.43178241642553783,1,Low Loss Wide Exposure Incidents
India,2016,Man-in-the-Middle,Banking,15.28,995025,Unknown,Weak Passwords,AI-based Detection,52,15.35639808045024,13.810524146452597,2.789937360574394,1,Low Loss Wide Exposure Incidents
France,2017,Ransomware,Retail,48.93,886212,Unknown,Weak Passwords,Encryption,67,55.21252251154351,13.694712607014791,3.910622024512518,2,High Loss Long Resolution Incidents
Russia,2022,DDoS,Education,69.24,495616,Nation-state,Unpatched Software,Antivirus,38,139.70493285123968,13.113558730005165,4.251917949326861,2,High Loss Long Resolution Incidents
UK,2015,Malware,IT,96.79,825881,Unknown,Zero-day,AI-based Detection,35,117.19606093371806,13.624207185155205,4.5828223223241835,0,High Loss Fast Resolution Incidents
China,2016,SQL Injection,Healthcare,52.68,55913,Nation-state,Social Engineering,Antivirus,70,942.1780265770036,10.93157007501371,3.9830404926634264,3,High Per-User Damage Incidents
Brazil,2023,SQL Injection,Healthcare,7.33,486146,Insider,Zero-day,Firewall,12,15.077774989406475,13.094266326283867,2.1198634561787513,1,Low Loss Wide Exposure Incidents
India,2015,Man-in-the-Middle,IT,76.97,224983,Nation-state,Weak Passwords,AI-based Detection,42,342.11473755794884,12.323784567546932,4.356324137321509,2,High Loss Long Resolution Incidents
France,2016,DDoS,Education,46.58,361163,Hacker Group,Zero-day,Firewall,38,128.97223691241905,12.797087427783719,3.8624125048748117,2,High Loss Long Resolution Incidents
France,2022,Ransomware,Healthcare,80.73,964782,Unknown,Weak Passwords,VPN,47,83.67693427116177,13.779658484567648,4.403421131528038,2,High Loss Long Resolution Incidents
UK,2016,Ransomware,IT,58.99,822380,Hacker Group,Zero-day,Firewall,26,71.73083002991318,13.619959070303317,4.094177881665002,0,High Loss Fast Resolution Incidents
Germany,2022,Ransomware,Education,87.93,471889,Nation-state,Zero-day,Antivirus,4,186.33619346922688,13.064501186559665,4.487849543411548,0,High Loss Fast Resolution Incidents
USA,2024,Malware,Telecommunications,71.42,967411,Hacker Group,Social Engineering,AI-based Detection,47,73.82591266793534,13.782379743676968,4.282482504337495,2,High Loss Long Resolution Incidents
Russia,2017,Phishing,Education,66.25,702883,Insider,Unpatched Software,VPN,31,94.25466258253508,13.462947150065254,4.208417018481948,0,High Loss Fast Resolution Incidents
Japan,2022,Malware,IT,1.92,2653,Nation-state,Unpatched Software,AI-based Detection,56,723.7090086694309,7.8838232148921525,1.0715836162801904,3,High Per-User Damage Incidents
UK,2024,Ransomware,Healthcare,90.37,540353,Hacker Group,Unpatched Software,Antivirus,68,167.24252479397728,13.199979759313333,4.514917197010529,2,High Loss Long Resolution Incidents
Australia,2023,Man-in-the-Middle,Healthcare,7.54,710871,Insider,Zero-day,Firewall,55,10.60670642071487,13.474247664448974,2.1447610078004784,1,Low Loss Wide Exposure Incidents
India,2021,Malware,Education,65.87,357399,Nation-state,Zero-day,Encryption,2,184.30381730223087,12.786610881707464,4.202750436065887,0,High Loss Fast Resolution Incidents
Australia,2024,Ransomware,Healthcare,24.21,180760,Nation-state,Weak Passwords,Encryption,34,133.93449878291656,12.104930995707303,3.2272407411998283,1,Low Loss Wide Exposure Incidents
UK,2016,Phishing,Retail,37.29,761252,Insider,Weak Passwords,VPN,57,48.98509297840925,13.542721038885178,3.6451887654892032,2,High Loss Long Resolution Incidents
USA,2024,Man-in-the-Middle,Government,96.13,482492,Unknown,Social Engineering,Encryption,17,199.23646402427397,13.086721691883918,4.5760502874142395,0,High Loss Fast Resolution Incidents
UK,2022,Phishing,Retail,26.63,725905,Hacker Group,Zero-day,VPN,54,36.68524118169733,13.495175808840095,3.318902138935325,2,High Loss Long Resolution Incidents
Australia,2018,Malware,Banking,68.32,843891,Unknown,Weak Passwords,Antivirus,31,80.95832281657228,13.64577980330494,4.238733464847405,0,High Loss Fast Resolution Incidents
Germany,2015,Malware,Education,75.2,461291,Insider,Social Engineering,AI-based Detection,5,163.02073961989288,13.041786527102014,4.333361462692601,0,High Loss Fast Resolution Incidents
Japan,2022,Phishing,Banking,12.42,570853,Unknown,Unpatched Software,Encryption,4,21.756914652283513,13.254888764174607,2.5967461315435356,1,Low Loss Wide Exposure Incidents
France,2020,DDoS,IT,52.09,362499,Insider,Unpatched Software,Encryption,4,143.6969481295121,12.800779753276867,3.97198858659558,0,High Loss Fast Resolution Incidents
Germany,2017,Malware,Government,63.97,590555,Nation-state,Social Engineering,AI-based Detection,27,108.32183285214755,13.2888197450087,4.17392562489244,0,High Loss Fast Resolution Incidents
France,2018,DDoS,Government,14.1,764003,Insider,Zero-day,AI-based Detection,43,18.45542491325296,13.546328303737045,2.714694743820879,1,Low Loss Wide Exposure Incidents
France,2020,Malware,Government,27.43,82853,Hacker Group,Social Engineering,Encryption,67,331.06827755180865,11.324835301713406,3.3474449256629084,3,High Per-User Damage Incidents
Japan,2024,Ransomware,Retail,47.44,696953,Nation-state,Zero-day,Firewall,54,68.06771762227869,13.454474690434195,3.8803259186848913,2,High Loss Long Resolution Incidents
UK,2020,Malware,IT,44.05,100972,Nation-state,Unpatched Software,Antivirus,54,436.25955710494,11.522608433352563,3.807772984054347,3,High Per-User Damage Incidents
China,2021,Ransomware,Retail,40.01,998728,Unknown,Weak Passwords,AI-based Detection,68,40.06095753798832,13.814238749558713,3.713815939403968,2,High Loss Long Resolution Incidents
India,2018,SQL Injection,Education,12.44,599905,Nation-state,Social Engineering,VPN,13,20.73661663096657,13.304528255258113,2.5982353350950036,1,Low Loss Wide Exposure Incidents
Russia,2017,Malware,Healthcare,42.4,71213,Nation-state,Social Engineering,Firewall,58,595.3969078679455,11.17344470728456,3.770459441106359,3,High Per-User Damage Incidents
USA,2024,Malware,Retail,52.2,579778,Nation-state,Zero-day,Firewall,57,90.03446146628536,13.27040227542776,3.9740583963475986,2,High Loss Long Resolution Incidents
Russia,2017,Malware,IT,68.12,627616,Insider,Zero-day,Firewall,29,108.53770458369449,13.349685386790922,4.2358441244958005,0,High Loss Fast Resolution Incidents
China,2020,Phishing,IT,55.06,743177,Hacker Group,Unpatched Software,Antivirus,21,74.0873304744361,13.518690864321345,4.026422545736642,0,High Loss Fast Resolution Incidents
UK,2023,Malware,Retail,28.79,6691,Hacker Group,Zero-day,VPN,57,4302.794798983709,8.808668062106715,3.394172766725191,3,High Per-User Damage Incidents
Russia,2015,Ransomware,Retail,46.96,672033,Hacker Group,Social Engineering,Antivirus,2,69.87752089555126,13.418064213463486,3.8703673301593136,0,High Loss Fast Resolution Incidents
France,2023,Ransomware,Education,17.72,261661,Insider,Social Engineering,VPN,11,67.72121179694338,12.474808873542496,2.929592471049446,0,High Loss Fast Resolution Incidents
Japan,2021,SQL Injection,Retail,82.52,214372,Insider,Unpatched Software,Encryption,12,384.9383314985166,12.275472767412758,4.425086124134329,0,High Loss Fast Resolution Incidents
India,2018,DDoS,Healthcare,76.43,304162,Hacker Group,Unpatched Software,Firewall,56,251.2805675922699,12.625319020903493,4.349374302398632,2,High Loss Long Resolution Incidents
India,2024,DDoS,Education,73.37,475719,Nation-state,Social Engineering,Firewall,52,154.22970282877077,13.072584724841182,4.309052634715209,2,High Loss Long Resolution Incidents
UK,2015,DDoS,Telecommunications,32.92,157678,Nation-state,Unpatched Software,Antivirus,68,208.77991856822132,11.968316599848094,3.5240048109237025,2,High Loss Long Resolution Incidents
Australia,2017,SQL Injection,Healthcare,68.91,634048,Hacker Group,Unpatched Software,Firewall,66,108.68262339759765,13.359881517499117,4.247208700523894,2,High Loss Long Resolution Incidents
India,2018,Phishing,IT,69.03,282139,Hacker Group,Unpatched Software,Encryption,37,244.66663594894715,12.550158680628494,4.248923721667427,2,High Loss Long Resolution Incidents
Germany,2021,DDoS,Banking,91.24,8787,Hacker Group,Unpatched Software,Encryption,55,10383.521110731763,9.081142433504501,4.524393875960803,3,High Per-User Damage Incidents
USA,2020,Man-in-the-Middle,Telecommunications,15.63,209853,Nation-state,Zero-day,VPN,1,74.4807079241183,12.254167329814289,2.8112082932048366,0,High Loss Fast Resolution Incidents
Brazil,2023,SQL Injection,Retail,56.76,774426,Hacker Group,Social Engineering,AI-based Detection,21,73.29299377861797,13.559878680039189,4.05629649458457,0,High Loss Fast Resolution Incidents
Japan,2018,Man-in-the-Middle,Retail,47.11,690595,Hacker Group,Social Engineering,Antivirus,71,68.21653791295911,13.445310271856384,3.8734900557113625,2,High Loss Long Resolution Incidents
USA,2021,Man-in-the-Middle,Education,36.06,48987,Unknown,Zero-day,VPN,58,736.1136628085002,10.799330649141178,3.6125382208572137,3,High Per-User Damage Incidents
France,2020,Phishing,Government,94.44,209658,Insider,Zero-day,VPN,11,450.4478722490914,12.253237680368175,4.55849777778966,0,High Loss Fast Resolution Incidents
China,2019,Phishing,Banking,49.14,341100,Insider,Social Engineering,Firewall,37,144.06332453825857,12.739933900094027,3.914819092730147,2,High Loss Long Resolution Incidents
India,2018,DDoS,Government,36.04,446170,Insider,Unpatched Software,VPN,72,80.77638568258736,13.008457565591858,3.6119984097779785,2,High Loss Long Resolution Incidents
UK,2016,SQL Injection,IT,6.59,186612,Unknown,Unpatched Software,Antivirus,30,35.313913360341246,12.136792232707174,2.0268315914075385,1,Low Loss Wide Exposure Incidents
Brazil,2017,Ransomware,IT,9.43,493087,Hacker Group,Unpatched Software,Encryption,44,19.124414150038433,13.10844293608158,2.344686269012681,1,Low Loss Wide Exposure Incidents
France,2020,SQL Injection,IT,25.32,644538,Unknown,Social Engineering,Antivirus,57,39.28395222624577,13.376290611555426,3.2703291064571163,2,High Loss Long Resolution Incidents
USA,2018,Malware,Government,70.53,363432,Hacker Group,Zero-day,AI-based Detection,40,194.06656540976027,12.803350239847184,4.270116942120293,2,High Loss Long Resolution Incidents
China,2016,Man-in-the-Middle,Banking,97.28,86038,Insider,Weak Passwords,Encryption,19,1130.6631953322951,11.362555960812962,4.587820547652979,3,High Per-User Damage Incidents
Brazil,2018,DDoS,Telecommunications,82.05,322527,Nation-state,Weak Passwords,Firewall,46,254.39730627203303,12.683945233154605,4.419442836059304,2,High Loss Long Resolution Incidents
France,2020,SQL Injection,Retail,36.17,813165,Nation-state,Unpatched Software,Antivirus,44,44.480517484151434,13.608690549729452,3.615501984309161,2,High Loss Long Resolution Incidents
Brazil,2017,Malware,IT,9.59,912731,Nation-state,Zero-day,Firewall,4,10.506929204771176,13.724197578698943,2.359910159613315,1,Low Loss Wide Exposure Incidents
Germany,2022,SQL Injection,Telecommunications,42.8,862664,Hacker Group,Zero-day,Firewall,44,49.6137546020235,13.667781713939135,3.7796338173824005,2,High Loss Long Resolution Incidents
Russia,2020,Phishing,Education,34.41,928026,Unknown,Social Engineering,VPN,5,37.07870253635135,13.740816106172678,3.566994266123812,0,High Loss Fast Resolution Incidents
Germany,2022,Man-in-the-Middle,IT,65.86,978868,Insider,Weak Passwords,AI-based Detection,39,67.28179897595999,13.794153102549075,4.202600880991953,2,High Loss Long Resolution Incidents
China,2022,Man-in-the-Middle,IT,85.3,155225,Unknown,Weak Passwords,Antivirus,13,549.5248832340152,11.952637398473575,4.457829598089382,0,High Loss Fast Resolution Incidents
France,2023,SQL Injection,Healthcare,69.76,824351,Unknown,Zero-day,Firewall,17,84.62414675302146,13.622352902140321,4.259293869291585,0,High Loss Fast Resolution Incidents
China,2016,Phishing,IT,27.46,973388,Nation-state,Zero-day,AI-based Detection,63,28.210744328058286,13.78853907572179,3.3484995926617063,2,High Loss Long Resolution Incidents
Germany,2022,SQL Injection,Education,68.96,710896,Nation-state,Zero-day,Firewall,18,97.00434381400373,13.474282831905857,4.247923650150401,0,High Loss Fast Resolution Incidents
Japan,2020,DDoS,Healthcare,25.83,96706,Insider,Unpatched Software,Firewall,42,267.09821520898396,11.479441067652878,3.2895206644375325,3,High Per-User Damage Incidents
Japan,2015,Man-in-the-Middle,Healthcare,7.96,770028,Unknown,Unpatched Software,Firewall,58,10.33728643633738,13.55418345545832,2.192770226986839,1,Low Loss Wide Exposure Incidents
China,2023,Man-in-the-Middle,Telecommunications,28.82,446243,Unknown,Zero-day,Firewall,66,64.58364613002333,13.008621166607444,3.3951793093365925,2,High Loss Long Resolution Incidents
Japan,2024,Malware,Retail,56.9,353887,Unknown,Weak Passwords,Antivirus,59,160.78578755365413,12.776735757875086,4.05871738457895,2,High Loss Long Resolution Incidents
Brazil,2021,DDoS,Banking,14.72,126781,Insider,Weak Passwords,Antivirus,32,116.10572562134705,11.750224355072618,2.7549337870010606,1,Low Loss Wide Exposure Incidents
Australia,2023,Ransomware,Retail,41.54,396865,Insider,Social Engineering,AI-based Detection,42,104.67035389868091,12.891353971206607,3.750444809772091,2,High Loss Long Resolution Incidents
